,county,state,population,dc,obs_dr
111,Hot spring,AR,26115,0.0,0.0
112,Howard,AR,13569,2.0,1.473947969636672
113,Independence,AR,31192,7.0,2.2441651705565526
114,Izard,AR,11364,4.0,3.5198873636043646
115,Jackson,AR,18944,4.0,2.1114864864864864
116,Jefferson,AR,85487,17.0,1.9886064547825986
117,Johnson,AR,18221,9.0,4.939355688491301
118,Lafayette,AR,9643,1.0,1.0370216737529816
119,Lawrence,AR,17457,5.0,2.864180557942373
120,Lee,AR,13053,3.0,2.298322224775913
121,Lincoln,AR,13690,2.0,1.460920379839299
122,Little river,AR,13966,0.0,0.0
123,Logan,AR,20557,3.0,1.459356910054969
124,Lonoke,AR,39268,13.0,3.3105836813690535
125,Madison,AR,11618,4.0,3.4429333792391117
126,Marion,AR,12001,6.0,4.9995833680526625
127,Miller,AR,38467,8.0,2.0797046819351652
128,Mississippi,AR,57525,11.0,1.9122120817036075
129,Monroe,AR,11333,3.0,2.6471366804906027
130,Montgomery,AR,7841,1.0,1.2753475322025252
131,Nevada,AR,10101,1.0,0.9900009900009901
132,Newton,AR,7666,1.0,1.3044612575006524
133,Ouachita,AR,30574,3.0,0.9812258781971609
134,Perry,AR,7969,2.0,2.5097251850922326
135,Phillips,AR,28838,8.0,2.7741174838754423
136,Pike,AR,10086,3.0,2.97441998810232
137,Poinsett,AR,24664,6.0,2.432695426532598
138,Polk,AR,17347,6.0,3.4588113218423935
139,Pope,AR,45883,11.0,2.3974020879192732
140,Prairie,AR,9518,2.0,2.101281781886951
141,Pulaski,AR,349660,68.0,1.9447463250014299
142,Randolph,AR,16558,7.0,4.227563715424568
143,Saline,AR,64183,15.0,2.3370674477665423
144,Scott,AR,10205,3.0,2.939735423811857
145,Searcy,AR,7841,2.0,2.5506950644050503
146,Sebastian,AR,99590,19.0,1.907822070489005
147,Sevier,AR,13637,3.0,2.1998973381242206
148,Sharp,AR,14109,9.0,6.37890708058686
149,St. francis,AR,28497,0.0,0.0
150,Stone,AR,9775,6.0,6.138107416879794
151,Union,AR,46719,13.0,2.7825938055180974
152,Van buren,AR,14008,0.0,0.0
153,Washington,AR,113409,20.0,1.7635284677582908
154,White,AR,54676,15.0,2.7434340478454895
155,Woodruff,AR,9520,1.0,1.050420168067227
156,Yell,AR,17759,5.0,2.815473844247987
157,Alameda,CA,1279182,177.0,1.3836967687162576
158,Alpine,CA,1113,0.0,0.0
159,Amador,CA,30039,6.0,1.997403375611705
160,Butte,CA,182120,48.0,2.6356248627278718
161,Calaveras,CA,31998,7.0,2.1876367272954558
162,Colusa,CA,16275,4.0,2.457757296466974
163,Contra costa,CA,803732,0.0,0.0
164,Del norte,CA,23460,0.0,0.0
165,El dorado,CA,125995,0.0,0.0
166,Fresno,CA,667490,95.0,1.4232422957647304
167,Glenn,CA,24798,6.0,2.419549963706751
168,Humboldt,CA,119118,28.0,2.350610319179301
169,Imperial,CA,109303,17.0,1.5553095523453153
170,Inyo,CA,18281,2.0,1.0940320551392155
171,Kern,CA,543477,87.0,1.6008037138646158
172,Kings,CA,101469,12.0,1.1826272063388819
173,Lake,CA,50631,23.0,4.54267148584859
174,Lassen,CA,27598,8.0,2.8987607797666497
175,Los angeles,CA,8863164,0.0,0.0
176,Madera,CA,88090,16.0,1.816324213872176
177,Marin,CA,230096,47.0,2.0426256866699117
178,Mariposa,CA,14302,6.0,4.1952174521046
179,Mendocino,CA,80345,12.0,1.4935590266973675
180,Merced,CA,178403,35.0,1.9618504173136102
181,Modoc,CA,9678,2.0,2.0665426741062207
182,Mono,CA,9956,0.0,0.0
183,Monterey,CA,355660,45.0,1.2652533318337738
184,Napa,CA,110765,42.0,3.7918114928000723
185,Nevada,CA,78510,15.0,1.9105846388995031
186,Orange,CA,2410556,379.0,1.5722513810091947
187,Placer,CA,172796,31.0,1.7940230097918934
188,Plumas,CA,19739,6.0,3.039667663002178
189,Riverside,CA,1170413,192.0,1.6404465774047279
190,Sacramento,CA,1041219,171.0,1.6423057973394648
191,San benito,CA,36697,0.0,0.0
192,San bernardino,CA,1418380,0.0,0.0
193,San diego,CA,2498016,0.0,0.0
194,San francisco,CA,723959,0.0,0.0
195,San joaquin,CA,480628,0.0,0.0
196,San luis obispo,CA,217162,0.0,0.0
197,San mateo,CA,649623,0.0,0.0
198,Santa barbara,CA,369608,0.0,0.0
199,Santa clara,CA,1497577,0.0,0.0
200,Santa cruz,CA,229734,0.0,0.0
201,Shasta,CA,147036,33.0,2.244348322859708
202,Sierra,CA,3318,1.0,3.0138637733574445
203,Siskiyou,CA,43531,12.0,2.756656176058441
204,Solano,CA,340421,33.0,0.9693879049764849
205,Sonoma,CA,388222,74.0,1.9061258764315265
206,Stanislaus,CA,370522,56.0,1.511381240520131
207,Sutter,CA,64415,7.0,1.0867034075913993
208,Tehama,CA,49625,18.0,3.6272040302267006
209,Trinity,CA,13063,4.0,3.0620837479905076
210,Tulare,CA,311921,57.0,1.827385780373877
211,Tuolumne,CA,48456,12.0,2.4764735017335315
212,Ventura,CA,669016,110.0,1.644205818694919
213,Yolo,CA,141092,29.0,2.0553964788932046
214,Yuba,CA,58228,16.0,2.7478189187332553
215,Adams,CO,265038,40.0,1.5092175461631916
216,Alamosa,CO,13617,2.0,1.468752294925461
217,Arapahoe,CO,391511,32.0,0.8173461282058487
218,Archuleta,CO,5345,2.0,3.741814780168382
219,Baca,CO,4556,1.0,2.1949078138718177
220,Bent,CO,5048,1.0,1.9809825673534074
221,Boulder,CO,225339,37.0,1.641970542160922
222,Chaffee,CO,12684,1.0,0.7883948281299274
223,Cheyenne,CO,2397,0.0,0.0
224,Clear creek,CO,7619,0.0,0.0
225,Conejos,CO,7453,1.0,1.341741580571582
226,Costilla,CO,3190,0.0,0.0
227,Crowley,CO,3946,2.0,5.068423720223011
228,Custer,CO,1926,0.0,0.0
229,Delta,CO,20980,8.0,3.813155386081983
230,Denver,CO,467610,98.0,2.0957635636534717
231,Dolores,CO,1504,2.0,13.297872340425533
232,Douglas,CO,60391,6.0,0.9935255253266215
233,Eagle,CO,21928,0.0,0.0
234,El paso,CO,397014,0.0,0.0
235,Elbert,CO,9646,1.0,1.0366991499066973
236,Fremont,CO,32273,9.0,2.788708827812723
237,Garfield,CO,29974,4.0,1.334489891239074
238,Gilpin,CO,3070,1.0,3.2573289902280136
239,Grand,CO,7966,1.0,1.2553351744915893
240,Gunnison,CO,10273,1.0,0.9734254842791785
241,Hinsdale,CO,467,0.0,0.0
242,Huerfano,CO,6009,0.0,0.0
243,Jackson,CO,1605,0.0,0.0
244,Jefferson,CO,438430,56.0,1.2772848573318432
245,Kiowa,CO,1688,1.0,5.924170616113744
246,Kit carson,CO,7140,0.0,0.0
247,La plata,CO,32284,0.0,0.0
248,Lake,CO,6007,1.0,1.66472448809722
249,Larimer,CO,186136,26.0,1.396828125671552
250,Las animas,CO,13765,0.0,0.0
251,Lincoln,CO,4529,2.0,4.41598586884522
252,Logan,CO,17567,6.0,3.4154949621449306
253,Mesa,CO,93145,23.0,2.469268345053411
254,Mineral,CO,558,0.0,0.0
255,Moffat,CO,11357,2.0,1.7610284406093157
256,Montezuma,CO,18672,5.0,2.677806341045416
257,Montrose,CO,24423,2.0,0.8189002170085575
258,Morgan,CO,21939,8.0,3.646474315146543
259,Otero,CO,20185,8.0,3.9633391132028732
260,Ouray,CO,2295,1.0,4.357298474945535
261,Park,CO,7174,3.0,4.181767493727349
262,Phillips,CO,4189,0.0,0.0
263,Pitkin,CO,12661,0.0,0.0
264,Prowers,CO,13347,3.0,2.247696111485727
265,Pueblo,CO,123051,34.0,2.7630819741408033
266,Rio blanco,CO,5972,0.0,0.0
267,Rio grande,CO,10770,0.0,0.0
268,Routt,CO,14088,3.0,2.1294718909710393
269,Saguache,CO,4619,1.0,2.164970772894566
270,San juan,CO,745,0.0,0.0
271,San miguel,CO,3653,0.0,0.0
272,Sedgwick,CO,2690,0.0,0.0
273,Summit,CO,12881,0.0,0.0
274,Teller,CO,12468,4.0,3.208213025344883
275,Washington,CO,4812,2.0,4.156275976724855
276,Weld,CO,131821,20.0,1.5172089424295065
277,Yuma,CO,8954,3.0,3.350457895912441
278,Fairfield,CT,827645,204.0,2.4648248947314366
279,Hartford,CT,851783,166.0,1.9488531703497254
280,Litchfield,CT,174092,46.0,2.6422810927555545
281,Middlesex,CT,143196,55.0,3.840889410318724
282,New haven,CT,804219,0.0,0.0
283,New london,CT,254957,0.0,0.0
284,Tolland,CT,128699,20.0,1.5540136286995236
285,Windham,CT,102525,30.0,2.9261155815654716
286,Kent,DE,110993,10.0,0.9009577180542917
287,New castle,DE,441946,0.0,0.0
288,Sussex,DE,113229,25.0,2.207914933453444
289,District of columbia,DC,606900,0.0,0.0
290,Alachua,FL,181596,16.0,0.8810766756977026
291,Baker,FL,18486,1.0,0.5409499080385156
292,Bay,FL,126994,21.0,1.653621430933745
293,Bradford,FL,22515,9.0,3.997335109926716
294,Brevard,FL,398978,96.0,2.4061477073923876
295,Broward,FL,1255488,404.0,3.217872253657542
296,Calhoun,FL,11011,1.0,0.9081827263645447
297,Charlotte,FL,110975,43.0,3.8747465645415633
298,Citrus,FL,93515,37.0,3.9565845051596007
299,Clay,FL,105986,10.0,0.9435208423754081
300,Collier,FL,152099,47.0,3.090092637032459
301,Columbia,FL,42613,8.0,1.8773613685964379
302,Dade,FL,1937094,434.0,2.240469486767292
303,Desoto,FL,23865,0.0,0.0
304,Dixie,FL,10585,2.0,1.889466225791214
305,Duval,FL,672971,94.0,1.3967912436048506
306,Escambia,FL,262798,56.0,2.130914238312316
307,Flagler,FL,28701,7.0,2.438939409776663
308,Franklin,FL,8967,2.0,2.2304003568640574
309,Gadsden,FL,41105,3.0,0.7298382191947451
310,Gilchrist,FL,9667,2.0,2.0688941760628947
311,Glades,FL,7591,1.0,1.3173494928204454
312,Gulf,FL,11504,0.0,0.0
313,Hamilton,FL,10930,2.0,1.829826166514181
314,Hardee,FL,19499,2.0,1.0256936253141187
315,Hendry,FL,25773,2.0,0.7760058976448222
316,Hernando,FL,101115,29.0,2.8680215596103444
317,Highlands,FL,68432,17.0,2.4842179097498245
318,Hillsborough,FL,834054,135.0,1.6186002345171895
319,Holmes,FL,15778,1.0,0.6337938902268982
320,Indian river,FL,90208,0.0,0.0
321,Jackson,FL,41375,5.0,1.2084592145015105
322,Jefferson,FL,11296,1.0,0.8852691218130313
323,Lafayette,FL,5578,0.0,0.0
324,Lake,FL,152104,38.0,2.498290643244096
325,Lee,FL,335113,98.0,2.92438669941184
326,Leon,FL,192493,15.0,0.7792491155522537
327,Levy,FL,25923,6.0,2.3145469274389536
328,Liberty,FL,5569,2.0,3.5913090321422163
329,Madison,FL,16569,2.0,1.207073450419458
330,Manatee,FL,211707,58.0,2.739635439546165
331,Marion,FL,194833,49.0,2.5149743626593035
332,Martin,FL,100900,33.0,3.270564915758176
333,Monroe,FL,78024,21.0,2.69147954475546
334,Nassau,FL,43941,6.0,1.365467331194101
335,Okaloosa,FL,143776,30.0,2.086579123080347
336,Okeechobee,FL,29627,9.0,3.0377696020521823
337,Orange,FL,677491,109.0,1.6088774611028043
338,Osceola,FL,107728,21.0,1.9493539284122978
339,Palm beach,FL,863518,0.0,0.0
340,Pasco,FL,281131,112.0,3.9839078579025435
341,Pinellas,FL,851659,299.0,3.510794813417107
342,Polk,FL,405382,80.0,1.973447267022216
343,Putnam,FL,65070,13.0,1.9978484708775166
344,Santa rosa,FL,81608,0.0,0.0
345,Sarasota,FL,277776,120.0,4.320027648176948
346,Seminole,FL,287529,27.0,0.9390357146583477
347,St. johns,FL,83829,0.0,0.0
348,St. lucie,FL,150171,0.0,0.0
349,Sumter,FL,31577,4.0,1.2667447825949267
350,Suwannee,FL,26780,4.0,1.4936519790888725
351,Taylor,FL,17111,4.0,2.3376775173864766
352,Union,FL,10252,1.0,0.9754194303550527
353,Volusia,FL,370712,93.0,2.5086859880446277
354,Wakulla,FL,14202,1.0,0.7041261794113506
355,Walton,FL,27760,9.0,3.2420749279538903
356,Washington,FL,16919,4.0,2.364205922335836
357,Appling,GA,15744,2.0,1.2703252032520325
358,Atkinson,GA,6213,0.0,0.0
359,Bacon,GA,9566,1.0,1.0453690152623878
360,Baker,GA,3615,0.0,0.0
361,Baldwin,GA,39530,4.0,1.0118897040222616
362,Banks,GA,10308,2.0,1.9402405898331394
363,Barrow,GA,29721,4.0,1.3458497358769894
364,Bartow,GA,55911,8.0,1.4308454508057449
365,Ben hill,GA,16245,0.0,0.0
366,Berrien,GA,14153,4.0,2.8262559174733277
367,Bibb,GA,149967,14.0,0.9335387118499403
368,Bleckley,GA,10430,1.0,0.9587727708533077
369,Brantley,GA,11077,1.0,0.9027715085311907
370,Brooks,GA,15398,0.0,0.0
371,Bryan,GA,15438,2.0,1.2955045990413268
372,Bulloch,GA,43125,6.0,1.391304347826087
373,Burke,GA,20579,2.0,0.9718645220856212
374,Butts,GA,15326,5.0,3.262429857758058
375,Calhoun,GA,5013,1.0,1.9948134849391583
376,Camden,GA,30167,0.0,0.0
377,Candler,GA,7744,1.0,1.2913223140495869
378,Carroll,GA,71422,9.0,1.2601159306656213
379,Catoosa,GA,42464,9.0,2.1194423511680482
380,Charlton,GA,8496,1.0,1.177024482109228
381,Chatham,GA,216935,39.0,1.7977735266324013
382,Chattahoochee,GA,16934,0.0,0.0
383,Chattooga,GA,22242,1.0,0.44959985612804604
384,Cherokee,GA,90204,15.0,1.6628974324863643
385,Clarke,GA,87594,10.0,1.1416307052994499
386,Clay,GA,3364,0.0,0.0
387,Clayton,GA,182052,21.0,1.153516577681102
388,Clinch,GA,6160,0.0,0.0
389,Cobb,GA,447745,43.0,0.9603680666450769
390,Coffee,GA,29592,1.0,0.3379291700459584
391,Colquitt,GA,36645,4.0,1.0915541001500888
392,Columbia,GA,66031,7.0,1.060108131029365
393,Cook,GA,13456,4.0,2.972651605231867
394,Coweta,GA,53853,8.0,1.485525411769075
395,Crawford,GA,8991,0.0,0.0
396,Crisp,GA,20011,3.0,1.4991754535005746
397,Dade,GA,13147,1.0,0.7606298014756219
398,Dawson,GA,9429,1.0,1.0605578534309048
399,Decatur,GA,25511,5.0,1.9599388499078827
400,Dekalb,GA,545837,0.0,0.0
401,Dodge,GA,17607,4.0,2.2718237064803772
402,Dooly,GA,9901,0.0,0.0
403,Dougherty,GA,96311,7.0,0.7268120983065278
404,Douglas,GA,71120,6.0,0.8436445444319459
405,Early,GA,11854,1.0,0.8435970980259828
406,Echols,GA,2334,0.0,0.0
407,Effingham,GA,25687,5.0,1.9465099077354302
408,Elbert,GA,18949,4.0,2.110929336640456
409,Emanuel,GA,20546,4.0,1.946850968558357
410,Evans,GA,8724,2.0,2.2925263640531868
411,Fannin,GA,15992,7.0,4.377188594297149
412,Fayette,GA,62415,3.0,0.4806536890170632
413,Floyd,GA,81251,13.0,1.5999803079346717
414,Forsyth,GA,44083,6.0,1.3610688927704557
415,Franklin,GA,16650,4.0,2.4024024024024024
416,Fulton,GA,648951,77.0,1.1865302619149982
417,Gilmer,GA,13368,1.0,0.7480550568521843
418,Glascock,GA,2357,0.0,0.0
419,Glynn,GA,62496,10.0,1.6001024065540195
420,Gordon,GA,35072,7.0,1.9958941605839415
421,Grady,GA,20279,1.0,0.493120962572119
422,Greene,GA,11793,2.0,1.6959213092512508
423,Gwinnett,GA,352910,37.0,1.0484259442917458
424,Habersham,GA,27621,7.0,2.5343036095724267
425,Hall,GA,95428,11.0,1.1527015131827136
426,Hancock,GA,8908,0.0,0.0
427,Haralson,GA,21966,6.0,2.7314941272876263
428,Harris,GA,17788,5.0,2.8108837418484374
429,Hart,GA,19712,8.0,4.058441558441558
430,Heard,GA,8628,1.0,1.1590171534538711
431,Henry,GA,58741,8.0,1.3619107607973988
432,Houston,GA,89208,10.0,1.1209756972468836
433,Irwin,GA,8649,1.0,1.1562030292519367
434,Jackson,GA,30005,4.0,1.3331111481419764
435,Jasper,GA,8453,1.0,1.1830119484206791
436,Jeff davis,GA,12032,0.0,0.0
437,Jefferson,GA,17408,1.0,0.5744485294117647
438,Jenkins,GA,8247,1.0,1.2125621438098704
439,Johnson,GA,8329,3.0,3.601872973946452
440,Jones,GA,20739,3.0,1.4465499783017504
441,Lamar,GA,13038,0.0,0.0
442,Lanier,GA,5531,0.0,0.0
443,Laurens,GA,39988,5.0,1.25037511253376
444,Lee,GA,16250,0.0,0.0
445,Liberty,GA,52745,1.0,0.1895914304673429
446,Lincoln,GA,7442,1.0,1.3437248051599033
447,Long,GA,6202,0.0,0.0
448,Lowndes,GA,75981,11.0,1.447730353641042
449,Lumpkin,GA,14573,4.0,2.7448020311535033
450,Macon,GA,13114,1.0,0.7625438462711607
451,Madison,GA,21050,2.0,0.9501187648456056
452,Marion,GA,5590,0.0,0.0
453,Mcduffie,GA,20119,0.0,0.0
454,Mcintosh,GA,8634,0.0,0.0
455,Meriwether,GA,22411,1.0,0.4462094507161662
456,Miller,GA,6280,0.0,0.0
457,Mitchell,GA,20275,3.0,1.4796547472256472
458,Monroe,GA,17113,2.0,1.1687021562554782
459,Montgomery,GA,7163,2.0,2.792126204104426
460,Morgan,GA,12883,1.0,0.7762167197081425
461,Murray,GA,26147,5.0,1.9122652694381765
462,Muscogee,GA,179278,28.0,1.5618201898727115
463,Newton,GA,41808,8.0,1.9135093761959434
464,Oconee,GA,17618,1.0,0.5676013168350551
465,Oglethorpe,GA,9763,1.0,1.024275325207416
466,Paulding,GA,41611,3.0,0.720963206844344
467,Peach,GA,21189,3.0,1.4158289678606824
468,Pickens,GA,14432,5.0,3.464523281596452
469,Pierce,GA,13328,1.0,0.7503001200480193
470,Pike,GA,10224,0.0,0.0
471,Polk,GA,33815,6.0,1.7743604909064024
472,Pulaski,GA,8108,1.0,1.2333497779970402
473,Putnam,GA,14137,4.0,2.8294546226214896
474,Quitman,GA,2209,1.0,4.526935264825713
475,Rabun,GA,11648,3.0,2.5755494505494507
476,Randolph,GA,8023,1.0,1.246416552411816
477,Richmond,GA,189719,24.0,1.2650288057600978
478,Rockdale,GA,54091,10.0,1.8487363886783383
479,Schley,GA,3588,0.0,0.0
480,Screven,GA,13842,1.0,0.7224389539083947
481,Seminole,GA,9010,1.0,1.1098779134295227
482,Spalding,GA,54457,8.0,1.4690489744201847
483,Stephens,GA,23257,6.0,2.5798684267102376
484,Stewart,GA,5654,1.0,1.7686593562079946
485,Sumter,GA,30228,0.0,0.0
486,Talbot,GA,6524,2.0,3.0656039239730224
487,Taliaferro,GA,1915,0.0,0.0
488,Tattnall,GA,17722,0.0,0.0
489,Taylor,GA,7642,1.0,1.308557969118032
490,Telfair,GA,11000,1.0,0.9090909090909091
491,Terrell,GA,10653,1.0,0.9387027128508402
492,Thomas,GA,38986,5.0,1.2825116708562048
493,Tift,GA,34998,5.0,1.4286530658894794
494,Toombs,GA,24072,1.0,0.4154204054503158
495,Towns,GA,6754,1.0,1.4806040864672787
496,Treutlen,GA,5994,4.0,6.673340006673341
497,Troup,GA,55536,9.0,1.62057044079516
498,Turner,GA,8703,1.0,1.1490290704354822
499,Twiggs,GA,9806,0.0,0.0
500,Union,GA,11993,3.0,2.5014591845243057
501,Upson,GA,26300,5.0,1.9011406844106464
502,Walker,GA,58340,10.0,1.7140898183064794
503,Walton,GA,38586,4.0,1.0366454154356504
504,Ware,GA,35471,1.0,0.28192044205125316
505,Warren,GA,6078,1.0,1.6452780519907866
506,Washington,GA,19112,3.0,1.569694432817078
507,Wayne,GA,22356,8.0,3.5784576847378786
508,Webster,GA,2263,0.0,0.0
509,Wheeler,GA,4903,1.0,2.039567611666327
510,White,GA,13006,4.0,3.075503613716746
511,Whitfield,GA,72462,20.0,2.760067345643234
512,Wilcox,GA,7008,0.0,0.0
513,Wilkes,GA,10597,4.0,3.774653203736907
514,Wilkinson,GA,10228,1.0,0.9777082518576458
515,Worth,GA,19745,1.0,0.5064573309698659
516,Ada,ID,205775,0.0,0.0
517,Adams,ID,3254,0.0,0.0
518,Bannock,ID,66026,0.0,0.0
519,Bear lake,ID,6084,0.0,0.0
520,Benewah,ID,7937,0.0,0.0
521,Bingham,ID,37583,0.0,0.0
522,Blaine,ID,13552,0.0,0.0
523,Boise,ID,3509,0.0,0.0
524,Bonner,ID,26622,0.0,0.0
525,Bonneville,ID,72207,0.0,0.0
526,Boundary,ID,8332,0.0,0.0
527,Butte,ID,2918,0.0,0.0
528,Camas,ID,727,0.0,0.0
529,Canyon,ID,90076,0.0,0.0
530,Caribou,ID,6963,0.0,0.0
531,Cassia,ID,19532,0.0,0.0
532,Clark,ID,762,0.0,0.0
533,Clearwater,ID,8505,0.0,0.0
534,Custer,ID,4133,0.0,0.0
535,Elmore,ID,21205,0.0,0.0
536,Franklin,ID,9232,0.0,0.0
537,Fremont,ID,10937,0.0,0.0
538,Gem,ID,11844,0.0,0.0
539,Gooding,ID,11633,0.0,0.0
540,Idaho,ID,13783,0.0,0.0
541,Jefferson,ID,16543,0.0,0.0
542,Jerome,ID,15138,0.0,0.0
543,Kootenai,ID,69795,0.0,0.0
544,Latah,ID,30617,0.0,0.0
545,Lemhi,ID,6899,0.0,0.0
546,Lewis,ID,3516,0.0,0.0
547,Lincoln,ID,3308,0.0,0.0
548,Madison,ID,23674,0.0,0.0
549,Minidoka,ID,19361,0.0,0.0
550,Nez perce,ID,33754,0.0,0.0
551,Oneida,ID,3492,0.0,0.0
552,Owyhee,ID,8392,0.0,0.0
553,Payette,ID,16434,0.0,0.0
554,Power,ID,7086,0.0,0.0
555,Shoshone,ID,13931,0.0,0.0
556,Teton,ID,3439,0.0,0.0
557,Twin falls,ID,53580,0.0,0.0
558,Valley,ID,6109,0.0,0.0
559,Washington,ID,8550,0.0,0.0
560,Adams,IL,66090,14.0,2.118323498259948
561,Alexander,IL,10626,2.0,1.8821757952192737
562,Bond,IL,14991,6.0,4.002401440864518
563,Boone,IL,30806,8.0,2.5968967084334222
564,Brown,IL,5836,1.0,1.7135023989033586
565,Bureau,IL,35688,19.0,5.323918403945303
566,Calhoun,IL,5322,2.0,3.7579857196542656
567,Carroll,IL,16805,12.0,7.1407319250223145
568,Cass,IL,13437,1.0,0.744213738185607
